date,ticker,open,high,low,close,volume
2022-01-03,AAPL,177.14,182.4,174.65,178.57,90671027
2022-01-04,AAPL,179.25,177.87,173.3,175.52,131801448
2022-01-05,AAPL,174.48,178.64,177.12,177.86,87929868
2022-01-06,AAPL,177.03,182.91,177.53,180.81,94716101
2022-01-07,AAPL,180.95,178.37,171.52,174.98,80421994
2022-01-10,AAPL,175.85,172.77,169.73,171.23,58797956
2022-01-11,AAPL,172.31,174.46,170.17,171.68,69060651
2022-01-12,AAPL,171.09,171.77,170.03,170.83,55615042
2022-01-13,AAPL,171.65,171.82,170.33,170.86,54511606
2022-01-14,AAPL,170.18,170.97,166.06,168.48,90247086
2022-01-17,AAPL,170.05,172.17,169.19,171.09,57115369
2022-01-18,AAPL,170.1,175.26,172.05,173.45,88048943
2022-01-19,AAPL,174.62,177.28,170.62,173.72,54134939
2022-01-20,AAPL,173.14,177.81,176.64,177.16,87439011
2022-01-21,AAPL,178.98,180.66,176.39,178.66,69090819
2022-01-24,AAPL,179.2,177.35,174.62,176.15,121998810
2022-01-25,AAPL,175.23,179.53,174.91,177.33,88159026
2022-01-26,AAPL,176.86,176.14,173.75,174.54,115903911
2022-01-27,AAPL,175.24,179.85,174.95,177.25,63773173
2022-01-28,AAPL,178.2,178.99,174.39,177.18,81358851
2022-01-31,AAPL,177.12,178.79,175.38,176.7,59602676
2022-02-01,AAPL,176.75,176.49,173.06,174.75,70664622
2022-02-02,AAPL,175.43,179.96,176.81,178.5,73950456
2022-02-03,AAPL,178.62,180.27,175.98,178.11,64345639
2022-02-04,AAPL,176.94,180.34,174.25,176.9,55555125
2022-02-07,AAPL,176.17,177.79,172.28,175.92,52351020
2022-02-08,AAPL,176.13,178.91,175.55,177.6,39650446
2022-02-09,AAPL,178.7,180.75,176.25,178.79,58272057
2022-02-10,AAPL,180.26,181.12,179.14,180.13,96570644
2022-02-11,AAPL,180.85,183.29,179.45,181.54,49524974
2022-02-14,AAPL,181.8,190.24,186.21,188.36,53068831
2022-02-15,AAPL,189.08,189.26,185.66,187.14,136906225
2022-02-16,AAPL,186.51,186.51,184.73,185.6,66093989
2022-02-17,AAPL,185.46,185.28,179.29,183.14,88088363
2022-02-18,AAPL,182.37,186.45,183.18,185.15,97001047
2022-02-21,AAPL,183.97,191.09,185.45,188.82,97590921
2022-02-22,AAPL,189.14,189.68,187.46,188.54,50669916
2022-02-23,AAPL,188.72,189.91,182.79,185.95,74642401
2022-02-24,AAPL,186.6,184.78,182.26,183.44,49232720
2022-02-25,AAPL,183.95,187.02,184.7,185.57,166654364
2022-02-28,AAPL,185.8,191.98,185.76,188.01,49578836
2022-03-01,AAPL,188.55,192.65,186.76,189.84,58420950
2022-03-02,AAPL,189.8,189.0,186.94,187.79,58547967
2022-03-03,AAPL,188.19,191.21,186.02,188.62,51061382
2022-03-04,AAPL,187.92,191.13,187.28,189.08,120037573
2022-03-07,AAPL,189.44,193.34,187.64,189.87,165465217
2022-03-08,AAPL,190.52,194.9,190.67,192.79,69359415
2022-03-09,AAPL,192.13,195.04,192.19,193.61,53833701
2022-03-10,AAPL,193.66,198.57,192.4,195.95,40892594
2022-03-11,AAPL,195.33,198.29,193.12,196.26,74350769
2022-03-14,AAPL,195.74,199.42,195.48,197.32,72756409
2022-03-15,AAPL,196.19,201.77,196.89,199.54,65801181
2022-03-16,AAPL,200.83,195.65,193.54,194.74,85493402
2022-03-17,AAPL,195.8,197.56,190.09,193.78,90069228
2022-03-18,AAPL,194.31,196.22,188.6,192.32,88142216
2022-03-21,AAPL,194.25,193.74,187.1,190.32,72761660
2022-03-22,AAPL,190.14,190.37,188.4,189.52,57485922
2022-03-23,AAPL,192.45,195.58,193.35,194.49,97687788
2022-03-24,AAPL,194.26,193.85,188.68,191.73,80300894
